DrugID,TargetID
11152667,O14757
11152667,O96017
208908,P00533
208908,P04626
51001932,P54675
17755052,P54675
3385,Q9I1H3
11707110,Q02750
11707110,P36507
5330286,P11802
5330286,Q00534
11640390,P08069
11626560,P08581
11626560,Q9UM73
11626560,P08922
11488320,P00533
11488320,P04626
11488320,P21860
24856436,P30291
24856436,P53350
5311,O80300
24978538,P10415
24978538,Q76LT7
23725625,P09874
23725625,Q9UGN5
135539077,O44001
6450551,P09619
6450551,P10721
6450551,Q8QHL3
135398516,P42345
24964624,P31749
24964624,P31751
1401,P11362
1401,P21802
1401,P22607
10184653,P00533
10184653,P04626
24866313,P27361
24866313,P28482
46926973,Q9H237
9858940,P36897
9858940,P36896
9858940,Q8NER5
44462760,P15056
24785538,P08069
24785538,Q9D915
176158,P49840
176158,P49841
51039095,P11362
51039095,P21802
51039095,P22607
25262965,P42345
24360,P11387
60838,P11387
3062316,P00519
3062316,P12931
3062316,P21709
3062316,P09619
3062316,P10721
216239,P09619
216239,P10721
216239,Q8QHL3
216239,P04049
11977753,P54675
11977753,P42345
25126798,P23458
25126798,O60674
176870,P00533
10090485,P36897
644241,P00519
5278396,Q13315
135400873,P06493
11364421,P53350
11364421,Q9NYY3
11364421,Q9H4B4
5494449,O14965
5494449,Q96GD4
5494449,Q9UQB9
51371303,P42818
16095342,Q13464
16095342,O75116
51042438,P31749
51042438,P31751
51042438,Q9Y243
56649450,P42336
44137675,P42338
11327430,A0A060AEX2
156422,Q9LDA4
156422,P45984
10384072,P30291
10384072,O14757
9914412,O14965
9914412,Q96GD4
24771867,O14965
4261,Q13547
4261,O15379
44631912,P11802
44631912,Q00534
49846579,P10415
46907787,P25440
46907787,Q15059
46907787,O60885
46907787,Q58F21
387447,P28074
387447,P20618
5311497,P07437
216239,P35916
216239,P35968
216239,P15056
216239,P36888
216239,P11362
216239,P07949
216239,P17948
60750,P23921
60750,P04818
60750,P30085
176870,O75469
3385,P04818
60838,Q969P6
36314,Q9H4B7
36314,P10415
36314,P27816
36314,P11137
36314,P10636
36314,O75469
148124,Q9H4B7
148124,P10415
148124,P11137
148124,P27816
148124,P10636
148124,O75469
3062316,P29317
3062316,P06239
3062316,P07947
3062316,P51692
3062316,P42684
3062316,P06241
3062316,Q06187
3062316,Q92570
3062316,P11274
3062316,P41240
3062316,P54756
3062316,P54760
3062316,P09769
3062316,P42685
3062316,P11142
3062316,P07948
3062316,Q9NYL2
3062316,Q16539
3062316,Q06203
5311,Q9BY41
5311,Q13547
5311,Q92769
5311,O15379
5311,Q9UBN7
5311,O67135
156422,Q16539
644241,P10721
6450551,P35916
6450551,P17948
6450551,P35968
44462760,P04049
44462760,P57059
44462760,Q8NG66
44462760,P53667
10184653,Q15303
23725625,Q9Y6F1
24978538,Q92843
24978538,Q92934
5702198,P29372
5702198,P01023
5702198,P02787
5702198,O00244
